Almeja fresca sin concha	Carnes	43.0	7.4	1.5	0.6	0.0	32.8	0.0	4 pieza	1
Almond joy	Aceites	80.0	0.7	9.4	4.3	0.0	23.8	0.0	0.3333333333333333 pieza	1
Almond joy miniatura	Aceites	74.0	0.6	8.8	4.0	0.0	22.0	0.0	0.75 pieza	1
Alón de pollo con piel cocido	Carnes	88.0	8.7	0.0	6.4	0.0	25.6	0.0	0.75 pieza	1
Alón de pollo con piel crudo	Carnes	85.0	7.1	0.0	6.1	0.0	28.1	0.0	0.75 pieza	1
Alón de pollo sin piel	Carnes	37.0	6.4	0.0	1.0	0.0	23.6	0.0	1 pieza	1
Alubia cocida (chica o grande)	Leguminosas	124.0	8.7	22.5	0.3	5.6	101.1	0.0	0.5 taza	1
Alubia cruda (chica o grande)	Leguminosas	117.0	8.1	21.1	0.3	5.3	105.4	0.0	35 g	1
Alubia enlatada guisada	Leguminosas	99.0	6.3	18.3	0.3	4.2	78.7	0.0	0.3333333333333333 taza	1
Alubia germinada	Leguminosas	125.0	18.2	17.9	2.3	0.0	144.4	0.0	2 taza	1
Alverjón o chícharo seco cocido	Leguminosas	116.0	8.2	20.7	0.4	0.0	97.0	0.0	0.5 taza	1
Alverjón o chícharo seco crudo	Leguminosas	119.0	8.6	21.1	0.4	0.0	128.1	0.0	35 g	1
Amaranto cocido	Cereales	70.0	7.0	13.5	0.5	0.0	70.0	0.0	2.5 taza	1
Amaranto tostado	Cereales	63.0	2.2	11.6	1.3	1.6	0.0	0.0	0.25 taza	1
Anchoa con aceite	Carnes	50.0	7.0	0.0	2.3	0.0	880.3	0.0	6 pieza	1
Anchoa fresca	Carnes	39.0	6.1	0.0	1.4	0.0	31.1	0.0	30 g	1
Anchoas crudas	Carnes	47.0	7.3	0.0	1.7	0.0	37.4	0.0	9 pieza	0
Anillos de calamar	Carnes	34.0	5.9	1.2	0.5	0.0	16.3	0.0	0.25 taza	1
Anís	Condimentos	4.0	0.2	0.5	0.2	0.0	0.0	0.0	0.5 cucharadita	1
Anona	Frutas	59.0	1.0	14.7	0.4	2.0	0.0	223.5	130 g	1
Añejo tipo cotija	Carnes	70.0	6.8	0.3	8.0	0.0	0.0	0.0	2 cucharada	1
Apio cocido	Verduras	20.0	0.9	4.5	0.2	1.8	0.0	319.5	0.75 taza	1
Apio crudo	Verduras	22.0	0.9	4.0	0.2	2.5	0.0	350.6	1.5 taza	1
Arándano fresco	Frutas	56.0	0.5	14.9	0.2	5.6	0.0	107.8	125 g	1
Arenque cocido	Carnes	51.0	5.8	0.0	2.9	0.0	28.8	0.0	25 g	0
Arenque fresco crudo	Carnes	55.0	6.3	0.0	3.2	0.0	31.5	0.0	35 g	0
Arenque marinado	Carnes	73.0	8.3	0.0	4.2	0.0	41.4	0.0	0.25 filete	0
Aricóte	Frutas	59.0	1.1	15.0	0.1	1.4	0.0	0.0	300 g	1
Armadillo	Carnes	40.0	7.1	0.0	1.3	0.0	0.0	0.0	35 g	1
Arrachera cruda	Carnes	49.0	7.5	0.0	1.9	0.0	19.3	0.0	35 g	1
Arrachera de avestruz	Carnes	36.0	8.2	0.0	0.4	0.0	32.0	0.0	40 g	0
Arrechera de res	Carnes	56.0	8.4	0.0	2.2	0.0	17.1	0.0	30 g	1
